,ROLLYEAR,Mail Zipcode,new business count,pct_change,median land value price
877,2008,94134,44.0,0.08459001782531184,121691.0
939,2014,94159,43.0,0.08029033025727816,245133.0
879,2010,94134,41.0,0.021333122479639366,129168.0
878,2009,94134,41.0,0.039271597735247576,126470.0
865,2012,94132,40.0,0.2193340844886429,186677.0
947,2014,94164,38.0,0.062189097124658144,436240.0
851,2014,94129,38.0,-0.055019395461274656,352989.0
861,2008,94132,38.0,0.059034082915353725,161840.0
621,2012,94080,35.0,0.010745299277920228,91195.0
850,2013,94129,31.0,0.20497096774193557,373541.0
957,2014,94188,31.0,0.017928897245725883,146169.5
1014,2014,94403,29.0,0.4134442812856909,129945.0
410,2008,94010,29.0,0.05748885581696439,150284.5
620,2011,94080,29.0,0.04218380913327979,90225.5
848,2011,94129,27.0,-0.2493985983127044,244937.0
1706,2014,94904,25.0,0.24319812245194217,205528.0
1030,2014,94501,25.0,0.27752813186738545,188063.0
1021,2013,94404,23.0,0.05840693966617416,147208.0
36,2013,28255,23.0,0.05139398703295961,783820.0
619,2010,94080,22.0,0.09782650046285135,86573.5
618,2009,94080,22.0,0.04039737720490266,78859.0
432,2014,94014,21.0,-0.026997303528223382,119439.0
607,2014,94066,20.0,0.12165420786110448,111636.0
2156,2009,95403,20.0,0.3508912124823924,49869.5
415,2013,94010,20.0,0.10251549073440369,210226.0
931,2014,94158,19.0,0.04534430074232243,398030.0
846,2009,94129,19.0,0.166917607695525,237158.5
1750,2010,94941,19.0,0.05461850630634779,182951.0
933,2008,94159,19.0,-0.038033031168508646,193668.0
896,2011,94141,19.0,-0.3074728282406649,131067.0
622,2013,94080,18.0,0.16931301058172044,106635.5
28,2014,22203,18.0,0.004539910891832699,2032795.0
528,2014,94030,18.0,0.02400135369416012,172470.5
1006,2014,94402,18.0,0.08246661594118865,191346.0
623,2014,94080,18.0,0.04536481753262289,111473.0
845,2008,94129,18.0,-0.03091756111749533,203235.0
1754,2014,94941,18.0,0.09922139820589182,234780.5
567,2014,94044,18.0,0.0176818137630832,94218.0
1778,2014,94947,17.0,0.1730811283621254,123383.5
1597,2014,94702,17.0,0.004532742584213212,127873.0
998,2014,94401,17.0,0.11259684642200929,159256.0
438,2012,94015,16.0,0.02125670645689448,90130.5
437,2011,94015,16.0,0.026167387563369227,88254.5
930,2013,94158,16.0,0.14839261316853802,380764.5
435,2009,94015,16.0,0.028873905482502904,84308.5
1020,2012,94404,16.0,0.048428312980551835,139084.5
1752,2012,94941,16.0,0.026711618257261316,201909.0
562,2009,94044,16.0,-0.06117438214680926,81445.0
1533,2014,94607,15.0,0.05173420381971594,414337.0
784,2014,94119,15.0,-0.18464378555551364,281346.0
1923,2014,95054,15.0,-0.0374717147545961,332849.5
1527,2008,94607,15.0,0.4008645128916337,354545.5
923,2014,94147,15.0,0.02510563385881248,322305.0
1698,2014,94903,15.0,0.13609984680544285,126073.0
847,2010,94129,15.0,0.375961645903478,326321.0
887,2010,94140,15.0,0.0898220833439185,193044.0
1539,2012,94608,14.0,0.07246058182512072,258537.0
1205,2010,94538,14.0,-0.012149949241092473,199481.5
1722,2014,94925,14.0,0.0855267240844304,157422.0
406,2012,94005,14.0,0.046467588636263324,130415.5
1860,2014,95014,14.0,0.030562858105830815,305768.0
565,2012,94044,14.0,0.09780257567858364,98968.0
431,2013,94014,14.0,0.1098874768873277,122753.0
827,2014,94126,14.0,0.06195469255663433,328144.0
1751,2011,94941,14.0,0.07491076845712796,196656.0
1565,2014,94611,14.0,0.1585046200264002,245742.0
1753,2013,94941,13.0,0.05784288961859052,213588.0
429,2011,94014,13.0,-0.07258772132373992,100410.0
897,2012,94141,13.0,0.08977851022759342,142834.0
426,2008,94014,13.0,0.11056294977531334,103550.0
1207,2012,94538,13.0,-0.049466265696379796,207031.0
997,2013,94401,12.0,-0.09556244984614215,143139.0
428,2010,94014,12.0,-0.00237269238388782,108269.0
617,2008,94080,12.0,0.1435187978999457,75797.0
825,2012,94126,12.0,0.07348733386769069,230357.5
436,2010,94015,12.0,0.020110664998191252,86004.0
943,2010,94164,12.0,-0.010611713726006,285860.0
927,2010,94158,12.0,1.879103088510179,368125.0
1690,2014,94901,12.0,-0.010846654285681767,173634.0
1748,2008,94941,11.0,0.08111312930532222,157729.0
953,2010,94188,11.0,0.005980270219617223,118088.0
526,2012,94030,11.0,0.04236881788426916,150000.0
1694,2010,94903,11.0,0.028641392277755973,94096.0
946,2013,94164,11.0,0.3670713744809393,410699.0
1532,2013,94607,11.0,-0.08013738771869605,393956.0
921,2012,94147,11.0,0.11595260053107759,280733.5
605,2012,94066,11.0,0.10690572640763207,92358.0
601,2008,94066,11.0,0.03371157045853135,68962.0
